         113241 function calls (110377 primitive calls) in 0.638 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      574    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
    188/2    0.002    0.000    0.314    0.157 <frozen importlib._bootstrap>:1022(_find_and_load)
       24    0.000    0.000    0.044    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
   253/42    0.001    0.000    0.248    0.006 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      574    0.011    0.000    0.012    0.000 <frozen importlib._bootstrap>:125(release)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      188    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      188    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      574    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      186    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      386    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    246/2    0.000    0.000    0.313    0.156 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1573    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      273    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      428    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      175    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  175/170    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    175/2    0.002    0.000    0.313    0.157 <frozen importlib._bootstrap>:664(_load_unlocked)
      186    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
